Periodo,Entidad_Federativa,Sexo,Grupo_edad,Condicion_informalidad,Numero_personas
20210601,Campeche,Hombre,45 A 64 AÑOS,Informal,47710
20200301,Campeche,Hombre,65 AÑOS Y MAS,Formal,2962
20210301,Campeche,Hombre,65 AÑOS Y MAS,Formal,3191
20210601,Campeche,Hombre,65 AÑOS Y MAS,Formal,3814
20200301,Campeche,Hombre,65 AÑOS Y MAS,Informal,12680
20210301,Campeche,Hombre,65 AÑOS Y MAS,Informal,15881
20210601,Campeche,Hombre,65 AÑOS Y MAS,Informal,15396
20200301,Campeche,Hombre,NO ESPECIFICADO,Formal,60
20210301,Campeche,Hombre,NO ESPECIFICADO,Formal,41
20210601,Campeche,Hombre,NO ESPECIFICADO,Formal,36
20200301,Campeche,Hombre,NO ESPECIFICADO,Informal,93
20210301,Campeche,Hombre,NO ESPECIFICADO,Informal,187
20210601,Campeche,Hombre,NO ESPECIFICADO,Informal,191
20200301,Campeche,Mujer,15 A 24 AÑOS,Formal,5233
20210301,Campeche,Mujer,15 A 24 AÑOS,Formal,3636
20210601,Campeche,Mujer,15 A 24 AÑOS,Formal,4266
20200301,Campeche,Mujer,15 A 24 AÑOS,Informal,16093
20210301,Campeche,Mujer,15 A 24 AÑOS,Informal,17949
20210601,Campeche,Mujer,15 A 24 AÑOS,Informal,17922
20200301,Campeche,Mujer,25 A 44 AÑOS,Formal,35384
20210301,Campeche,Mujer,25 A 44 AÑOS,Formal,34804
20210601,Campeche,Mujer,25 A 44 AÑOS,Formal,35901
20200301,Campeche,Mujer,25 A 44 AÑOS,Informal,50732
20210301,Campeche,Mujer,25 A 44 AÑOS,Informal,48573
20210601,Campeche,Mujer,25 A 44 AÑOS,Informal,51633
20200301,Campeche,Mujer,45 A 64 AÑOS,Formal,17653
20210301,Campeche,Mujer,45 A 64 AÑOS,Formal,16583
20210601,Campeche,Mujer,45 A 64 AÑOS,Formal,16444
20200301,Campeche,Mujer,45 A 64 AÑOS,Informal,27582
20210301,Campeche,Mujer,45 A 64 AÑOS,Informal,32227
20210601,Campeche,Mujer,45 A 64 AÑOS,Informal,31710
20200301,Campeche,Mujer,65 AÑOS Y MAS,Formal,1069
20210301,Campeche,Mujer,65 AÑOS Y MAS,Formal,788
20210601,Campeche,Mujer,65 AÑOS Y MAS,Formal,957
20200301,Campeche,Mujer,65 AÑOS Y MAS,Informal,4201
20210301,Campeche,Mujer,65 AÑOS Y MAS,Informal,4260
20210601,Campeche,Mujer,65 AÑOS Y MAS,Informal,5646
20200301,Campeche,Mujer,NO ESPECIFICADO,Formal,116
20210301,Campeche,Mujer,NO ESPECIFICADO,Formal,83
20200301,Campeche,Mujer,NO ESPECIFICADO,Informal,27
20210301,Campeche,Mujer,NO ESPECIFICADO,Informal,22
20210601,Campeche,Mujer,NO ESPECIFICADO,Informal,45
20200301,Chiapas,Hombre,15 A 24 AÑOS,Formal,33872
20210301,Chiapas,Hombre,15 A 24 AÑOS,Formal,23573
20210601,Chiapas,Hombre,15 A 24 AÑOS,Formal,23884
20200301,Chiapas,Hombre,15 A 24 AÑOS,Informal,237121
20210301,Chiapas,Hombre,15 A 24 AÑOS,Informal,256221
20210601,Chiapas,Hombre,15 A 24 AÑOS,Informal,292317
20200301,Chiapas,Hombre,25 A 44 AÑOS,Formal,174974
20210301,Chiapas,Hombre,25 A 44 AÑOS,Formal,198277
20210601,Chiapas,Hombre,25 A 44 AÑOS,Formal,175550
20200301,Chiapas,Hombre,25 A 44 AÑOS,Informal,439569
20210301,Chiapas,Hombre,25 A 44 AÑOS,Informal,442358
20210601,Chiapas,Hombre,25 A 44 AÑOS,Informal,482334
20200301,Chiapas,Hombre,45 A 64 AÑOS,Formal,138656
20210301,Chiapas,Hombre,45 A 64 AÑOS,Formal,113636
20210601,Chiapas,Hombre,45 A 64 AÑOS,Formal,108144
20200301,Chiapas,Hombre,45 A 64 AÑOS,Informal,274871
20210301,Chiapas,Hombre,45 A 64 AÑOS,Informal,317272
20210601,Chiapas,Hombre,45 A 64 AÑOS,Informal,338817
20200301,Chiapas,Hombre,65 AÑOS Y MAS,Formal,30123
20210301,Chiapas,Hombre,65 AÑOS Y MAS,Formal,19280
20210601,Chiapas,Hombre,65 AÑOS Y MAS,Formal,20134
20200301,Chiapas,Hombre,65 AÑOS Y MAS,Informal,77086
20210301,Chiapas,Hombre,65 AÑOS Y MAS,Informal,69289
20210601,Chiapas,Hombre,65 AÑOS Y MAS,Informal,77576
20200301,Chiapas,Mujer,15 A 24 AÑOS,Formal,14759
20210301,Chiapas,Mujer,15 A 24 AÑOS,Formal,13307
20210601,Chiapas,Mujer,15 A 24 AÑOS,Formal,12521
20200301,Chiapas,Mujer,15 A 24 AÑOS,Informal,91703
20210301,Chiapas,Mujer,15 A 24 AÑOS,Informal,87062
20210601,Chiapas,Mujer,15 A 24 AÑOS,Informal,94837
20200301,Chiapas,Mujer,25 A 44 AÑOS,Formal,91244
20210301,Chiapas,Mujer,25 A 44 AÑOS,Formal,108782
20210601,Chiapas,Mujer,25 A 44 AÑOS,Formal,113582
20200301,Chiapas,Mujer,25 A 44 AÑOS,Informal,207070
20210301,Chiapas,Mujer,25 A 44 AÑOS,Informal,208193
20210601,Chiapas,Mujer,25 A 44 AÑOS,Informal,235314
20200301,Chiapas,Mujer,45 A 64 AÑOS,Formal,54778
20210301,Chiapas,Mujer,45 A 64 AÑOS,Formal,51137
20210601,Chiapas,Mujer,45 A 64 AÑOS,Formal,55351
20200301,Chiapas,Mujer,45 A 64 AÑOS,Informal,150587
20210301,Chiapas,Mujer,45 A 64 AÑOS,Informal,129525
20210601,Chiapas,Mujer,45 A 64 AÑOS,Informal,135805
20200301,Chiapas,Mujer,65 AÑOS Y MAS,Formal,4869
20210301,Chiapas,Mujer,65 AÑOS Y MAS,Formal,3753
20210601,Chiapas,Mujer,65 AÑOS Y MAS,Formal,4627
20200301,Chiapas,Mujer,65 AÑOS Y MAS,Informal,23324
20210301,Chiapas,Mujer,65 AÑOS Y MAS,Informal,21960
20210601,Chiapas,Mujer,65 AÑOS Y MAS,Informal,26680
20200301,Chihuahua,Hombre,15 A 24 AÑOS,Formal,94782
20210301,Chihuahua,Hombre,15 A 24 AÑOS,Formal,94944
20210601,Chihuahua,Hombre,15 A 24 AÑOS,Formal,101965
20200301,Chihuahua,Hombre,15 A 24 AÑOS,Informal,86201
20210301,Chihuahua,Hombre,15 A 24 AÑOS,Informal,74937
20210601,Chihuahua,Hombre,15 A 24 AÑOS,Informal,83314
20200301,Chihuahua,Hombre,25 A 44 AÑOS,Formal,316895
20210301,Chihuahua,Hombre,25 A 44 AÑOS,Formal,314797
20210601,Chihuahua,Hombre,25 A 44 AÑOS,Formal,310518
20200301,Chihuahua,Hombre,25 A 44 AÑOS,Informal,134765
20210301,Chihuahua,Hombre,25 A 44 AÑOS,Informal,144863
20210601,Chihuahua,Hombre,25 A 44 AÑOS,Informal,146748
20200301,Chihuahua,Hombre,45 A 64 AÑOS,Formal,202529
20210301,Chihuahua,Hombre,45 A 64 AÑOS,Formal,202692
20210601,Chihuahua,Hombre,45 A 64 AÑOS,Formal,211351
20200301,Chihuahua,Hombre,45 A 64 AÑOS,Informal,127050
20210301,Chihuahua,Hombre,45 A 64 AÑOS,Informal,116343
20210601,Chihuahua,Hombre,45 A 64 AÑOS,Informal,124736
20200301,Chihuahua,Hombre,65 AÑOS Y MAS,Formal,15663
20210301,Chihuahua,Hombre,65 AÑOS Y MAS,Formal,13058
20210601,Chihuahua,Hombre,65 AÑOS Y MAS,Formal,14302
20200301,Chihuahua,Hombre,65 AÑOS Y MAS,Informal,25403
20210301,Chihuahua,Hombre,65 AÑOS Y MAS,Informal,27460
20210601,Chihuahua,Hombre,65 AÑOS Y MAS,Informal,39956
20200301,Chihuahua,Hombre,NO ESPECIFICADO,Informal,118
20210301,Chihuahua,Hombre,NO ESPECIFICADO,Informal,196
20210601,Chihuahua,Hombre,NO ESPECIFICADO,Informal,203
20200301,Chihuahua,Mujer,15 A 24 AÑOS,Formal,74630
20210301,Chihuahua,Mujer,15 A 24 AÑOS,Formal,57018
20210601,Chihuahua,Mujer,15 A 24 AÑOS,Formal,60952
20200301,Chihuahua,Mujer,15 A 24 AÑOS,Informal,37882
20210301,Chihuahua,Mujer,15 A 24 AÑOS,Informal,37153
20210601,Chihuahua,Mujer,15 A 24 AÑOS,Informal,44646
20200301,Chihuahua,Mujer,25 A 44 AÑOS,Formal,244023
20210301,Chihuahua,Mujer,25 A 44 AÑOS,Formal,232544
20210601,Chihuahua,Mujer,25 A 44 AÑOS,Formal,232632
20200301,Chihuahua,Mujer,25 A 44 AÑOS,Informal,91654
20210301,Chihuahua,Mujer,25 A 44 AÑOS,Informal,78958
20210601,Chihuahua,Mujer,25 A 44 AÑOS,Informal,82133
20200301,Chihuahua,Mujer,45 A 64 AÑOS,Formal,118897
20210301,Chihuahua,Mujer,45 A 64 AÑOS,Formal,134017
20210601,Chihuahua,Mujer,45 A 64 AÑOS,Formal,134813
20200301,Chihuahua,Mujer,45 A 64 AÑOS,Informal,73418
20210301,Chihuahua,Mujer,45 A 64 AÑOS,Informal,58033
20210601,Chihuahua,Mujer,45 A 64 AÑOS,Informal,72825
20200301,Chihuahua,Mujer,65 AÑOS Y MAS,Formal,6299
20210301,Chihuahua,Mujer,65 AÑOS Y MAS,Formal,5676
20210601,Chihuahua,Mujer,65 AÑOS Y MAS,Formal,2972
20200301,Chihuahua,Mujer,65 AÑOS Y MAS,Informal,13680
20210301,Chihuahua,Mujer,65 AÑOS Y MAS,Informal,12086
20210601,Chihuahua,Mujer,65 AÑOS Y MAS,Informal,13561
20210601,Chihuahua,Mujer,NO ESPECIFICADO,Formal,126
20200301,Ciudad de México,Hombre,15 A 24 AÑOS,Formal,109976
20210301,Ciudad de México,Hombre,15 A 24 AÑOS,Formal,84355
20210601,Ciudad de México,Hombre,15 A 24 AÑOS,Formal,73238
20200301,Ciudad de México,Hombre,15 A 24 AÑOS,Informal,149515
20210301,Ciudad de México,Hombre,15 A 24 AÑOS,Informal,146476
20210601,Ciudad de México,Hombre,15 A 24 AÑOS,Informal,162679
20200301,Ciudad de México,Hombre,25 A 44 AÑOS,Formal,638588
20210301,Ciudad de México,Hombre,25 A 44 AÑOS,Formal,642308
20210601,Ciudad de México,Hombre,25 A 44 AÑOS,Formal,682583
20200301,Ciudad de México,Hombre,25 A 44 AÑOS,Informal,506437
20210301,Ciudad de México,Hombre,25 A 44 AÑOS,Informal,463432
20210601,Ciudad de México,Hombre,25 A 44 AÑOS,Informal,476188
20200301,Ciudad de México,Hombre,45 A 64 AÑOS,Formal,493432
20210301,Ciudad de México,Hombre,45 A 64 AÑOS,Formal,393783
20210601,Ciudad de México,Hombre,45 A 64 AÑOS,Formal,416288
20200301,Ciudad de México,Hombre,45 A 64 AÑOS,Informal,396974
20210301,Ciudad de México,Hombre,45 A 64 AÑOS,Informal,340672
20210601,Ciudad de México,Hombre,45 A 64 AÑOS,Informal,413954
20200301,Ciudad de México,Hombre,65 AÑOS Y MAS,Formal,69536
20210301,Ciudad de México,Hombre,65 AÑOS Y MAS,Formal,49542
20210601,Ciudad de México,Hombre,65 AÑOS Y MAS,Formal,53514
20200301,Ciudad de México,Hombre,65 AÑOS Y MAS,Informal,101367
20210301,Ciudad de México,Hombre,65 AÑOS Y MAS,Informal,58387
20210601,Ciudad de México,Hombre,65 AÑOS Y MAS,Informal,66335
20200301,Ciudad de México,Mujer,15 A 24 AÑOS,Formal,77089
20210301,Ciudad de México,Mujer,15 A 24 AÑOS,Formal,51793
20210601,Ciudad de México,Mujer,15 A 24 AÑOS,Formal,47992
20200301,Ciudad de México,Mujer,15 A 24 AÑOS,Informal,99127
20210301,Ciudad de México,Mujer,15 A 24 AÑOS,Informal,69445
20210601,Ciudad de México,Mujer,15 A 24 AÑOS,Informal,113267
20200301,Ciudad de México,Mujer,25 A 44 AÑOS,Formal,560103
20210301,Ciudad de México,Mujer,25 A 44 AÑOS,Formal,492767
20210601,Ciudad de México,Mujer,25 A 44 AÑOS,Formal,517628
20200301,Ciudad de México,Mujer,25 A 44 AÑOS,Informal,392159
20210301,Ciudad de México,Mujer,25 A 44 AÑOS,Informal,374670
20210601,Ciudad de México,Mujer,25 A 44 AÑOS,Informal,334189
20200301,Ciudad de México,Mujer,45 A 64 AÑOS,Formal,375432
20210301,Ciudad de México,Mujer,45 A 64 AÑOS,Formal,335692
20210601,Ciudad de México,Mujer,45 A 64 AÑOS,Formal,358043
20200301,Ciudad de México,Mujer,45 A 64 AÑOS,Informal,349140
20210301,Ciudad de México,Mujer,45 A 64 AÑOS,Informal,295800
20210601,Ciudad de México,Mujer,45 A 64 AÑOS,Informal,315375
20200301,Ciudad de México,Mujer,65 AÑOS Y MAS,Formal,33379
20210301,Ciudad de México,Mujer,65 AÑOS Y MAS,Formal,25625
20210601,Ciudad de México,Mujer,65 AÑOS Y MAS,Formal,28467
20200301,Ciudad de México,Mujer,65 AÑOS Y MAS,Informal,87341
20210301,Ciudad de México,Mujer,65 AÑOS Y MAS,Informal,45707
20210601,Ciudad de México,Mujer,65 AÑOS Y MAS,Informal,57687
20200301,Coahuila,Hombre,15 A 24 AÑOS,Formal,90628
20210301,Coahuila,Hombre,15 A 24 AÑOS,Formal,78742
20210601,Coahuila,Hombre,15 A 24 AÑOS,Formal,90124
20200301,Coahuila,Hombre,15 A 24 AÑOS,Informal,56252
20210301,Coahuila,Hombre,15 A 24 AÑOS,Informal,61000
20210601,Coahuila,Hombre,15 A 24 AÑOS,Informal,63427
20200301,Coahuila,Hombre,25 A 44 AÑOS,Formal,290522
20210301,Coahuila,Hombre,25 A 44 AÑOS,Formal,278787
20210601,Coahuila,Hombre,25 A 44 AÑOS,Formal,288452
20200301,Coahuila,Hombre,25 A 44 AÑOS,Informal,94738
20210301,Coahuila,Hombre,25 A 44 AÑOS,Informal,107625
20210601,Coahuila,Hombre,25 A 44 AÑOS,Informal,110896
20200301,Coahuila,Hombre,45 A 64 AÑOS,Formal,175319
20210301,Coahuila,Hombre,45 A 64 AÑOS,Formal,186346
20210601,Coahuila,Hombre,45 A 64 AÑOS,Formal,175799
20200301,Coahuila,Hombre,45 A 64 AÑOS,Informal,86272
20210301,Coahuila,Hombre,45 A 64 AÑOS,Informal,97582
20210601,Coahuila,Hombre,45 A 64 AÑOS,Informal,103013
20200301,Coahuila,Hombre,65 AÑOS Y MAS,Formal,10071
20210301,Coahuila,Hombre,65 AÑOS Y MAS,Formal,7620
20210601,Coahuila,Hombre,65 AÑOS Y MAS,Formal,12003
20200301,Coahuila,Hombre,65 AÑOS Y MAS,Informal,22299
20210301,Coahuila,Hombre,65 AÑOS Y MAS,Informal,19598
20210601,Coahuila,Hombre,65 AÑOS Y MAS,Informal,21736
20200301,Coahuila,Mujer,15 A 24 AÑOS,Formal,48827
20210301,Coahuila,Mujer,15 A 24 AÑOS,Formal,45751
20210601,Coahuila,Mujer,15 A 24 AÑOS,Formal,56628
20200301,Coahuila,Mujer,15 A 24 AÑOS,Informal,34875
20210301,Coahuila,Mujer,15 A 24 AÑOS,Informal,34512
20210601,Coahuila,Mujer,15 A 24 AÑOS,Informal,36408
20200301,Coahuila,Mujer,25 A 44 AÑOS,Formal,168526
20210301,Coahuila,Mujer,25 A 44 AÑOS,Formal,167405
20210601,Coahuila,Mujer,25 A 44 AÑOS,Formal,167707
20200301,Coahuila,Mujer,25 A 44 AÑOS,Informal,74311
20210301,Coahuila,Mujer,25 A 44 AÑOS,Informal,84983
20210601,Coahuila,Mujer,25 A 44 AÑOS,Informal,87024
20200301,Coahuila,Mujer,45 A 64 AÑOS,Formal,90350
20210301,Coahuila,Mujer,45 A 64 AÑOS,Formal,92460
20210601,Coahuila,Mujer,45 A 64 AÑOS,Formal,94635
20200301,Coahuila,Mujer,45 A 64 AÑOS,Informal,72707
20210301,Coahuila,Mujer,45 A 64 AÑOS,Informal,72093
20210601,Coahuila,Mujer,45 A 64 AÑOS,Informal,77474
20200301,Coahuila,Mujer,65 AÑOS Y MAS,Formal,2668
20210301,Coahuila,Mujer,65 AÑOS Y MAS,Formal,3211
20210601,Coahuila,Mujer,65 AÑOS Y MAS,Formal,1955
20200301,Coahuila,Mujer,65 AÑOS Y MAS,Informal,11005
20210301,Coahuila,Mujer,65 AÑOS Y MAS,Informal,9104
20210601,Coahuila,Mujer,65 AÑOS Y MAS,Informal,8956
20200301,Colima,Hombre,15 A 24 AÑOS,Formal,13031
20210301,Colima,Hombre,15 A 24 AÑOS,Formal,9578
20210601,Colima,Hombre,15 A 24 AÑOS,Formal,14411
20200301,Colima,Hombre,15 A 24 AÑOS,Informal,26322
20210301,Colima,Hombre,15 A 24 AÑOS,Informal,23289
20210601,Colima,Hombre,15 A 24 AÑOS,Informal,24461
20200301,Colima,Hombre,25 A 44 AÑOS,Formal,57855
20210301,Colima,Hombre,25 A 44 AÑOS,Formal,53868
20210601,Colima,Hombre,25 A 44 AÑOS,Formal,62428
20200301,Colima,Hombre,25 A 44 AÑOS,Informal,32785
20210301,Colima,Hombre,25 A 44 AÑOS,Informal,40700
20210601,Colima,Hombre,25 A 44 AÑOS,Informal,33443
20200301,Colima,Hombre,45 A 64 AÑOS,Formal,36318
20210301,Colima,Hombre,45 A 64 AÑOS,Formal,37057
20210601,Colima,Hombre,45 A 64 AÑOS,Formal,38659
20200301,Colima,Hombre,45 A 64 AÑOS,Informal,30258
20210301,Colima,Hombre,45 A 64 AÑOS,Informal,28131
20210601,Colima,Hombre,45 A 64 AÑOS,Informal,27038
20200301,Colima,Hombre,65 AÑOS Y MAS,Formal,4940
20210301,Colima,Hombre,65 AÑOS Y MAS,Formal,2808
20210601,Colima,Hombre,65 AÑOS Y MAS,Formal,4029
20200301,Colima,Hombre,65 AÑOS Y MAS,Informal,8088
20210301,Colima,Hombre,65 AÑOS Y MAS,Informal,6688
20210601,Colima,Hombre,65 AÑOS Y MAS,Informal,6890
20200301,Colima,Mujer,15 A 24 AÑOS,Formal,7084
20210301,Colima,Mujer,15 A 24 AÑOS,Formal,7137
20210601,Colima,Mujer,15 A 24 AÑOS,Formal,8313
20200301,Colima,Mujer,15 A 24 AÑOS,Informal,17938
20210301,Colima,Mujer,15 A 24 AÑOS,Informal,15834
20210601,Colima,Mujer,15 A 24 AÑOS,Informal,18439
20200301,Colima,Mujer,25 A 44 AÑOS,Formal,39602
20210301,Colima,Mujer,25 A 44 AÑOS,Formal,38193
20210601,Colima,Mujer,25 A 44 AÑOS,Formal,38810
20200301,Colima,Mujer,25 A 44 AÑOS,Informal,33885
20210301,Colima,Mujer,25 A 44 AÑOS,Informal,33468
20210601,Colima,Mujer,25 A 44 AÑOS,Informal,34700
20200301,Colima,Mujer,45 A 64 AÑOS,Formal,18443
20210301,Colima,Mujer,45 A 64 AÑOS,Formal,24401
20210601,Colima,Mujer,45 A 64 AÑOS,Formal,27807
20200301,Colima,Mujer,45 A 64 AÑOS,Informal,27718
20210301,Colima,Mujer,45 A 64 AÑOS,Informal,27550
20210601,Colima,Mujer,45 A 64 AÑOS,Informal,24426
20200301,Colima,Mujer,65 AÑOS Y MAS,Formal,1117
20210301,Colima,Mujer,65 AÑOS Y MAS,Formal,939
20210601,Colima,Mujer,65 AÑOS Y MAS,Formal,1586
20200301,Colima,Mujer,65 AÑOS Y MAS,Informal,4951
20210301,Colima,Mujer,65 AÑOS Y MAS,Informal,3913
20210601,Colima,Mujer,65 AÑOS Y MAS,Informal,3467
20200301,Durango,Hombre,15 A 24 AÑOS,Formal,28151
20210301,Durango,Hombre,15 A 24 AÑOS,Formal,28122
20210601,Durango,Hombre,15 A 24 AÑOS,Formal,32397
20200301,Durango,Hombre,15 A 24 AÑOS,Informal,55929
20210301,Durango,Hombre,15 A 24 AÑOS,Informal,62219
20210601,Durango,Hombre,15 A 24 AÑOS,Informal,64599
20200301,Durango,Hombre,25 A 44 AÑOS,Formal,122454
20210301,Durango,Hombre,25 A 44 AÑOS,Formal,120295
20210601,Durango,Hombre,25 A 44 AÑOS,Formal,128339
20200301,Durango,Hombre,25 A 44 AÑOS,Informal,84890
20210301,Durango,Hombre,25 A 44 AÑOS,Informal,95754
20210601,Durango,Hombre,25 A 44 AÑOS,Informal,96245
